,name,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,overall
0,default_reps,78.7,93.8,61.3,88.1,66.8,90.60000000000001,56.49999999999999,91.0,93.10000000000001,94.39999999999999,0.8143
1,default_reps,78.10000000000001,95.3,55.400000000000006,81.69999999999999,82.89999999999999,89.7,54.2,93.0,94.1,92.10000000000001,0.8165
2,default_reps,80.80000000000001,95.1,76.4,90.0,71.89999999999999,91.0,42.5,92.10000000000001,93.10000000000001,92.30000000000001,0.8252
3,default_reps,84.7,94.3,74.5,86.0,73.4,91.7,40.8,90.7,93.8,93.7,0.8236
4,default_reps,84.6,95.89999999999999,73.2,85.5,79.4,91.8,44.2,91.8,95.39999999999999,92.60000000000001,0.8344
5,default_reps,72.6,93.2,72.3,90.0,59.8,90.3,61.1,90.2,92.60000000000001,94.39999999999999,0.8165
6,default_reps,81.6,94.89999999999999,68.0,83.7,81.0,93.10000000000001,45.0,90.4,95.6,92.60000000000001,0.8259
7,default_reps,82.5,94.0,66.2,88.3,75.8,95.19999999999999,41.099999999999994,80.4,92.60000000000001,94.89999999999999,0.811
8,default_reps,70.39999999999999,94.3,53.7,79.10000000000001,69.3,93.2,71.5,91.10000000000001,93.2,92.60000000000001,0.8084
9,default_reps,84.39999999999999,94.3,62.9,83.6,64.4,89.8,60.9,92.7,92.0,93.5,0.8185
10,default_reps,72.6,93.89999999999999,59.0,82.1,78.4,92.30000000000001,60.199999999999996,87.9,94.8,95.7,0.8169
11,default_reps,83.89999999999999,95.0,74.6,83.89999999999999,75.7,92.4,45.1,91.2,95.6,92.9,0.8303
12,default_reps,78.8,96.2,48.0,78.2,77.5,92.2,64.1,90.7,94.1,94.0,0.8138
13,default_reps,82.5,94.6,71.8,87.6,78.10000000000001,91.7,45.4,91.10000000000001,93.0,93.2,0.829
14,default_reps,80.7,94.89999999999999,71.3,85.9,74.9,88.0,50.9,92.7,94.39999999999999,93.4,0.8271
15,default_reps,82.8,96.5,77.9,84.89999999999999,75.1,90.4,42.199999999999996,92.60000000000001,94.39999999999999,92.4,0.8292
16,default_reps,87.7,94.1,75.7,83.0,66.0,92.4,40.1,90.0,94.0,93.89999999999999,0.8169
17,default_reps,78.60000000000001,93.10000000000001,70.8,87.5,74.1,89.60000000000001,49.6,94.8,93.0,92.0,0.8231
18,default_reps,86.4,94.69999999999999,75.7,83.89999999999999,81.2,92.30000000000001,22.900000000000002,91.3,95.19999999999999,92.80000000000001,0.8164
19,default_reps,73.4,93.0,77.2,87.8,57.599999999999994,92.0,62.5,92.10000000000001,93.4,92.4,0.8214
