,name,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,overall
0,e7-1_reps,88.3,97.6,89.1,94.69999999999999,91.0,97.89999999999999,66.3,98.9,98.3,95.19999999999999,0.9173
1,e7-1_reps,89.1,98.5,90.0,87.3,84.89999999999999,98.1,72.1,97.8,97.8,96.3,0.9119
2,e7-1_reps,83.0,98.8,89.2,95.0,89.1,98.6,75.7,97.7,98.1,96.1,0.9213
3,e7-1_reps,87.5,97.8,90.10000000000001,92.7,86.5,97.39999999999999,75.1,98.2,98.0,96.7,0.92
4,e7-1_reps,91.2,99.2,86.5,90.5,78.4,98.8,76.7,96.2,98.7,96.1,0.9123
5,e7-1_reps,81.39999999999999,98.9,89.9,91.10000000000001,79.7,96.6,81.39999999999999,98.8,98.2,94.39999999999999,0.9104
6,e7-1_reps,81.0,99.1,84.5,91.8,92.30000000000001,99.3,79.2,96.1,98.5,95.7,0.9175
7,e7-1_reps,85.8,98.2,85.3,92.9,88.4,97.7,77.4,97.3,99.0,96.5,0.9185
8,e7-1_reps,87.1,98.3,89.1,95.0,88.2,98.1,70.89999999999999,98.7,97.7,93.8,0.9169
9,e7-1_reps,90.5,97.8,83.7,94.19999999999999,87.0,95.39999999999999,74.4,98.8,97.6,95.39999999999999,0.9148
10,e7-1_reps,80.5,98.4,74.6,90.0,81.39999999999999,98.7,86.2,93.7,98.4,98.1,0.9
11,e7-1_reps,88.3,98.9,86.2,93.0,86.2,98.3,75.7,98.6,97.89999999999999,96.3,0.9194
12,e7-1_reps,89.2,98.0,90.0,94.5,85.2,98.5,73.6,98.4,98.4,93.0,0.9188
13,e7-1_reps,81.2,98.7,88.2,89.8,80.80000000000001,97.5,83.6,98.2,98.5,97.0,0.9135
14,e7-1_reps,82.3,98.4,87.7,94.1,91.2,98.9,75.2,98.6,98.1,94.89999999999999,0.9194
15,e7-1_reps,88.3,98.0,89.60000000000001,92.2,82.19999999999999,98.7,76.8,96.5,98.2,97.6,0.9181
16,e7-1_reps,89.1,99.0,85.5,92.10000000000001,90.10000000000001,98.2,65.5,95.6,98.1,97.8,0.911
17,e7-1_reps,83.39999999999999,98.6,89.0,93.2,78.5,98.4,79.10000000000001,98.2,96.8,95.89999999999999,0.9111
18,e7-1_reps,84.7,98.0,87.5,91.0,89.0,97.5,77.0,97.5,98.8,96.8,0.9178
19,e7-1_reps,88.3,98.5,86.3,90.8,87.0,98.6,75.3,98.0,98.7,95.89999999999999,0.9174
