,name,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,overall
0,e8_reps,85.0,98.6,85.7,93.60000000000001,88.4,98.1,76.5,95.39999999999999,98.0,97.1,0.9164
1,e8_reps,90.10000000000001,98.6,88.1,91.2,89.1,98.0,67.60000000000001,97.7,98.0,95.39999999999999,0.9138
2,e8_reps,89.0,98.5,84.2,93.7,87.6,97.5,71.2,97.7,98.2,95.89999999999999,0.9135
3,e8_reps,90.60000000000001,98.3,87.5,90.0,87.2,96.89999999999999,71.7,97.2,97.8,96.7,0.9139
4,e8_reps,84.39999999999999,98.5,86.2,92.60000000000001,87.8,98.2,76.6,94.3,98.2,97.39999999999999,0.9142
5,e8_reps,86.5,97.8,79.60000000000001,91.60000000000001,84.0,99.4,81.0,94.69999999999999,97.7,95.3,0.9076
6,e8_reps,86.8,98.6,86.7,92.2,89.1,98.4,74.9,93.8,98.6,97.7,0.9168
7,e8_reps,83.3,98.0,84.39999999999999,92.2,88.4,97.8,78.2,98.4,98.2,94.6,0.9135
8,e8_reps,86.8,97.7,83.89999999999999,93.2,85.8,97.5,76.1,98.2,97.6,95.0,0.9118
9,e8_reps,80.30000000000001,98.8,82.89999999999999,89.8,91.7,98.3,78.8,97.5,97.5,95.5,0.9111
10,e8_reps,90.4,98.0,88.1,89.1,90.7,98.1,63.800000000000004,98.0,98.3,95.7,0.9102
11,e8_reps,94.5,98.7,86.1,92.9,91.7,98.8,59.699999999999996,97.39999999999999,97.5,95.8,0.9131
12,e8_reps,87.9,99.1,77.4,89.8,96.0,97.39999999999999,69.0,97.39999999999999,98.4,96.2,0.9086
13,e8_reps,90.3,98.9,89.60000000000001,88.4,82.19999999999999,98.0,74.5,97.8,98.4,94.8,0.9129
14,e8_reps,86.1,98.8,86.5,90.2,86.7,98.1,77.5,97.0,98.4,96.2,0.9155
15,e8_reps,88.9,98.4,82.19999999999999,91.7,90.60000000000001,98.6,74.4,97.5,97.89999999999999,95.39999999999999,0.9156
16,e8_reps,83.39999999999999,98.6,84.89999999999999,92.5,85.0,96.8,78.0,97.7,97.8,96.7,0.9114
17,e8_reps,84.6,98.3,87.9,95.7,86.8,97.5,70.8,98.6,98.1,93.8,0.9121
18,e8_reps,80.80000000000001,98.6,82.19999999999999,91.60000000000001,87.2,98.6,81.5,97.8,97.8,95.0,0.9111
19,e8_reps,91.60000000000001,98.4,87.1,92.2,90.4,98.9,65.4,96.89999999999999,97.89999999999999,95.6,0.9144
