,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.859,0.3829214953,59.8496112823,False,1,706e5_00001,2023-09-02_08-42-31,1693644151000,59.8496112823,859925,dl,141.68.100.65,59.8496112823,1,15,0.0941979096,64,64
1,0.8878333333,0.3110876096,59.4882845879,False,2,706e5_00001,2023-09-02_08-43-30,1693644210000,119.3378958702,859925,dl,141.68.100.65,119.3378958702,2,15,0.0941979096,64,64
2,0.8953333333,0.2833330924,61.1926941872,False,3,706e5_00001,2023-09-02_08-44-31,1693644271000,180.5305900574,859925,dl,141.68.100.65,180.5305900574,3,15,0.0941979096,64,64
3,0.8959166667,0.2709199193,58.7224190235,False,4,706e5_00001,2023-09-02_08-45-30,1693644330000,239.2530090809,859925,dl,141.68.100.65,239.2530090809,4,15,0.0941979096,64,64
4,0.8874166667,0.3017462997,60.9790775776,False,5,706e5_00001,2023-09-02_08-46-31,1693644391000,300.2320866585,859925,dl,141.68.100.65,300.2320866585,5,15,0.0941979096,64,64
5,0.9115833333,0.2415157474,58.7627432346,False,6,706e5_00001,2023-09-02_08-47-30,1693644450000,358.9948298931,859925,dl,141.68.100.65,358.9948298931,6,15,0.0941979096,64,64
6,0.9160833333,0.2342098723,60.0188717842,False,7,706e5_00001,2023-09-02_08-48-30,1693644510000,419.0137016773,859925,dl,141.68.100.65,419.0137016773,7,15,0.0941979096,64,64
7,0.9150833333,0.2349157961,58.0966062546,False,8,706e5_00001,2023-09-02_08-49-28,1693644568000,477.1103079319,859925,dl,141.68.100.65,477.1103079319,8,15,0.0941979096,64,64
8,0.9076666667,0.2514390286,59.6956105232,False,9,706e5_00001,2023-09-02_08-50-28,1693644628000,536.8059184551,859925,dl,141.68.100.65,536.8059184551,9,15,0.0941979096,64,64
9,0.91975,0.2272860036,60.9723088741,False,10,706e5_00001,2023-09-02_08-51-29,1693644689000,597.7782273293,859925,dl,141.68.100.65,597.7782273293,10,15,0.0941979096,64,64
10,0.9155833333,0.2419994436,60.3674945831,False,11,706e5_00001,2023-09-02_08-52-29,1693644749000,658.1457219124,859925,dl,141.68.100.65,658.1457219124,11,15,0.0941979096,64,64
11,0.9168333333,0.2373120938,58.7658772469,False,12,706e5_00001,2023-09-02_08-53-28,1693644808000,716.9115991592,859925,dl,141.68.100.65,716.9115991592,12,15,0.0941979096,64,64
12,0.9240833333,0.22948737,58.0667185783,False,13,706e5_00001,2023-09-02_08-54-26,1693644866000,774.9783177376,859925,dl,141.68.100.65,774.9783177376,13,15,0.0941979096,64,64
13,0.9150833333,0.2574802501,58.7312364578,False,14,706e5_00001,2023-09-02_08-55-25,1693644925000,833.7095541954,859925,dl,141.68.100.65,833.7095541954,14,15,0.0941979096,64,64
