,mean_accuracy,mean_val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.epochs,config.learning_rate,config.batch_size,config.l1
0,0.2113333333,2.2802209385,29.2723016739,False,1,a4f07_00081,2023-08-25_10-49-50,1692960590000,29.2723016739,1483417,dl,141.68.100.65,29.2723016739,1,20,0.0001107098,64,128
1,0.2875833333,2.2616727378,20.4095828533,False,2,a4f07_00081,2023-08-25_10-50-11,1692960611000,49.6818845272,1483417,dl,141.68.100.65,49.6818845272,2,20,0.0001107098,64,128
2,0.364,2.2425258654,21.0868287086,False,3,a4f07_00081,2023-08-25_10-50-32,1692960632000,70.7687132359,1483417,dl,141.68.100.65,70.7687132359,3,20,0.0001107098,64,128
3,0.4028333333,2.2212303547,19.9636845589,False,4,a4f07_00081,2023-08-25_10-50-52,1692960652000,90.7323977947,1483417,dl,141.68.100.65,90.7323977947,4,20,0.0001107098,64,128
4,0.4344166667,2.1964324928,19.9968976974,False,5,a4f07_00081,2023-08-25_10-51-12,1692960672000,110.7292954922,1483417,dl,141.68.100.65,110.7292954922,5,20,0.0001107098,64,128
5,0.4539166667,2.167553331,21.126547575,False,6,a4f07_00081,2023-08-25_10-51-33,1692960693000,131.8558430672,1483417,dl,141.68.100.65,131.8558430672,6,20,0.0001107098,64,128
6,0.46675,2.1330219393,20.1873161793,False,7,a4f07_00081,2023-08-25_10-51-53,1692960713000,152.0431592464,1483417,dl,141.68.100.65,152.0431592464,7,20,0.0001107098,64,128
7,0.4796666667,2.0914347362,20.6742522717,False,8,a4f07_00081,2023-08-25_10-52-14,1692960734000,172.7174115181,1483417,dl,141.68.100.65,172.7174115181,8,20,0.0001107098,64,128
8,0.4875833333,2.0416461172,19.7459907532,False,9,a4f07_00081,2023-08-25_10-52-33,1692960753000,192.4634022713,1483417,dl,141.68.100.65,192.4634022713,9,20,0.0001107098,64,128
9,0.4996666667,1.9826317493,20.2984690666,False,10,a4f07_00081,2023-08-25_10-52-54,1692960774000,212.7618713379,1483417,dl,141.68.100.65,212.7618713379,10,20,0.0001107098,64,128
