,config.l1,config.learning_rate,config.batch_size,config.epochs,mean_val_loss
0,128,0.044786164011082895,64,15,0.3266640068689982
1,128,0.001038587939254411,64,10,0.736116261323293
2,64,0.06058998599790963,16,10,0.25943896821513773
3,32,0.0739572539979414,64,15,0.2682206580042839
4,128,0.03890161859791094,32,10,0.29587611328065394
5,256,0.054216309553762485,32,10,0.26179837486396235
6,32,0.049975599890782645,16,5,0.3364150456202527
7,32,0.07689545764135136,64,15,0.30523453797896705
8,128,0.05571369348346249,32,15,0.28956939271092413
9,128,0.0057682175443455365,16,10,0.46142937771479287
10,64,0.02715672414129547,128,20,0.3877382355326034
11,64,0.06846785243002743,32,20,0.2870427453940113
12,64,0.03272577889053925,32,20,0.26101646612832946
13,256,0.08311156659965999,32,15,0.2702282272943606
14,256,0.0919256261992061,64,5,0.34578891017039615
15,64,0.0962097424465857,32,10,0.251235796879977
16,128,0.024963934736840214,128,20,0.3923215525264436
17,128,0.017905546229573396,128,5,0.5764039039928862
18,64,0.08711891538433802,64,15,0.3078190422058105
19,64,0.011369323858938317,64,10,0.47867545680205026
20,64,0.06959918947174362,32,10,0.282049365682217
21,128,0.045927537589942335,16,20,0.2764442296802493
22,128,0.0589567850610925,16,10,0.29616723124989464
23,64,0.08269660777049569,32,10,0.2636453280330946
24,128,0.08677157509360776,32,10,0.2652128244328002
25,64,0.08912540401386136,32,10,0.26203750948111215
26,64,0.09432176733928188,32,10,0.2772527051270008
27,64,0.09167531784753712,32,10,0.23903618289281925
28,64,0.09178813897352603,32,10,0.26863046987106404
29,64,0.09169367748160087,32,10,0.2590554805522164
30,128,0.0704177502924626,32,15,0.23654211443041762
31,128,0.0722643359388228,16,15,0.26593330604730486
32,256,0.06899986089908565,32,15,0.28027797024448714
33,32,0.0919361388073525,32,10,0.2607214118664463
34,64,0.09086059188181882,16,10,0.26387426538035896
35,128,0.0919479571126425,32,10,0.261789867863059
36,32,0.0918763126241908,32,10,0.25253667587041856
37,64,0.031267346791208385,16,20,0.2975751346647739
38,32,0.044970284233168616,32,20,0.27749098422626656
39,32,0.071830875271891,32,15,0.27164456707487505
40,128,0.09189565423373008,32,10,0.2758651657924056
41,32,0.09170240892355962,32,10,0.27690260488695156
42,32,0.09191520708235876,32,10,0.2975476934959491
43,256,0.07595952240966507,16,15,0.2857177424982656
44,128,0.06968623340178183,32,15,0.252703527631859
45,256,0.06924899542113225,32,15,0.28478719912779826
46,256,0.09061300173749466,16,10,0.2722397668161041
47,128,0.09152047866669953,32,10,0.25601241607715686
48,256,0.09151076756461285,32,10,0.2535788964678844
49,256,0.09128110058898896,32,10,0.2681126269896825
50,256,0.09145908840816859,32,10,0.2726837081077198
51,256,0.09155722501733045,32,10,0.2500553585998714
52,256,0.09133778810637072,32,10,0.25825219056506954
53,256,0.09146444581128492,32,10,0.2456994072459638
54,256,0.09130381940437486,32,10,0.24425869120905797
55,256,0.09129479753410115,32,10,0.2731000801995397
56,256,0.09127387900130841,32,10,0.2582615455289682
57,256,0.09135430454308852,32,10,0.2601405225346486
58,256,0.09122776744673576,32,10,0.26266861308241884
59,256,0.09123895949675051,32,10,0.25507698789735633
60,256,0.09118129759420884,32,10,0.25182606605192026
61,256,0.09117919068885172,32,10,0.23411630291491747
62,256,0.09110135695041298,32,10,0.24235695600012938
63,256,0.09117394144571295,32,10,0.2517187845893204
64,256,0.09125362454357687,32,10,0.2414038221873343
65,256,0.09124755029307033,32,10,0.26026223666469256
66,128,0.08595031338273722,64,10,0.26963293317953746
67,256,0.09101609847620735,32,10,0.2469483924495677
68,256,0.09100908803939542,32,10,0.2621363026065131
69,256,0.0910760030433949,32,10,0.2476800804535548
70,256,0.09105420772932751,32,10,0.24128828943893313
71,256,0.09096999679135222,32,10,0.2688625789731741
72,256,0.0911901556972534,32,10,0.2391287698422869
73,256,0.09110689494272474,32,10,0.27077991275986035
74,256,0.0910778528758978,32,10,0.23525515654186407
75,256,0.09110688334088685,32,10,0.2625092444568872
76,64,0.03936619623419641,128,20,0.33192267625572835
77,256,0.09119269034598111,32,10,0.2575337974205613
78,256,0.09118366015485106,32,10,0.2540169837748011
79,256,0.09116267398439579,32,10,0.27804544462263586
80,256,0.0911415385715349,32,10,0.2629193238380055
81,256,0.09112116833493704,32,10,0.2539835736528039
82,32,0.07721677662278864,32,15,0.2634874900529782
83,256,0.09106875052668716,32,10,0.2531860401183367
84,256,0.09109410965873363,32,10,0.2774634279360374
85,256,0.09102266728910008,32,10,0.24353422416498263
86,256,0.09102265343350803,32,10,0.24817951386794448
87,256,0.09102711424105843,32,10,0.2607313753006359
88,128,0.06227578291615856,64,10,0.29352651377518973
89,256,0.09064111935348104,32,10,0.252021133693556
90,256,0.09058344271476144,32,10,0.26290390454729395
91,256,0.09075645134928705,32,10,0.26668172430743775
92,256,0.0908402509052168,32,10,0.24155212241659563
93,256,0.0906787949834921,32,10,0.25854069617390635
94,256,0.09077815407772342,32,10,0.24024979032824437
95,256,0.09061423509748628,32,10,0.2451461475243171
